bestAnswer,score
0,2.696746E-1
1,9.330256E-1
1,5.265597E-1
1,5.925264E-1
1,6.676413E-1
1,7.904337E-1
1,9.441755E-1
1,6.97827E-1
1,9.5505E-1
1,8.546073E-1
1,6.833064E-1
1,9.413164E-1
1,9.760301E-1
1,5.540815E-1
1,7.797148E-1
1,9.085012E-1
1,9.780685E-1
1,9.673852E-1
1,9.596474E-1
1,8.718559E-1
1,6.386791E-1
1,9.066951E-1
1,8.096596E-1
1,8.96552E-1
1,8.947505E-1
1,5.80135E-1
1,5.444337E-1
1,6.587221E-1
1,6.005794E-1
1,8.938314E-1
1,9.241984E-1
0,3.775288E-1
1,9.903003E-1
1,7.089757E-1
1,8.816117E-1
1,7.46194E-1
1,7.239626E-1
1,9.297718E-1
1,7.915258E-1
1,6.048749E-1
1,9.691561E-1
1,8.930671E-1
1,5.767256E-1
1,6.568478E-1
1,8.058148E-1
1,9.436822E-1
1,9.275677E-1
1,7.589833E-1
0,1.315828E-1
1,6.986788E-1
1,5.2384E-1
1,9.739488E-1
1,7.0066E-1
1,9.751499E-1
0,4.197518E-1
1,8.479338E-1
1,6.725651E-1
1,9.277808E-1
1,6.951245E-1
1,9.327156E-1
1,7.983785E-1
1,8.349612E-1
1,9.515781E-1
1,9.181633E-1
1,8.049863E-1
1,9.555368E-1
1,9.62713E-1
1,6.922225E-1
1,7.497908E-1
1,6.699518E-1
1,8.257633E-1
1,8.220142E-1
1,9.900543E-1
1,7.843775E-1
1,9.262885E-1
0,4.693692E-1
0,3.257826E-1
1,9.364423E-1
1,9.678642E-1
1,8.710256E-1
1,7.435198E-1
1,9.619912E-1
0,4.792634E-1
1,9.479096E-1
1,7.069017E-1
1,9.404188E-1
1,6.986231E-1
1,7.491202E-1
1,8.515053E-1
1,7.833724E-1
1,9.195253E-1
1,8.777164E-1
1,7.384936E-1
1,7.504736E-1
1,8.771993E-1
1,8.097557E-1
1,8.442061E-1
1,9.59274E-1
1,6.927108E-1
1,9.799555E-1
1,8.20619E-1
1,5.04778E-1
1,5.832777E-1
0,1.768861E-1
1,8.513058E-1
1,5.062773E-1
1,8.359264E-1
1,5.498832E-1
1,5.953705E-1
1,9.413509E-1
1,6.136006E-1
1,5.973746E-1
0,3.166627E-1
1,5.646822E-1
1,9.166608E-1
1,9.162812E-1
1,8.885152E-1
1,5.324682E-1
1,9.196002E-1
1,8.301426E-1
1,8.499037E-1
1,9.66243E-1
1,7.925386E-1
0,2.237557E-1
1,9.68054E-1
1,5.141093E-1
1,9.201317E-1
0,2.344798E-1
1,8.121862E-1
1,6.036123E-1
1,5.791484E-1
1,7.066087E-1
0,2.671601E-1
0,3.095613E-1
1,5.601193E-1
1,5.165034E-1
1,9.809921E-1
1,8.428643E-1
1,9.457825E-1
1,9.714253E-1
1,8.406021E-1
1,5.644631E-1
1,8.018018E-1
1,5.255792E-1
0,2.552891E-1
1,6.394531E-1
1,5.358948E-1
1,6.801172E-1
1,6.40771E-1
1,6.132551E-1
1,6.642193E-1
1,7.207605E-1
1,8.304838E-1
1,8.105444E-1
1,8.48856E-1
0,2.968896E-1
1,7.238128E-1
1,5.28985E-1
1,6.312364E-1
1,8.950063E-1
1,6.778875E-1
1,9.714774E-1
0,1.903261E-1
1,5.187716E-1
0,3.58193E-1
1,6.416119E-1
1,8.01024E-1
1,8.950121E-1
0,3.055091E-1
1,6.616805E-1
1,6.630299E-1
1,9.865001E-1
1,8.408186E-1
1,9.378944E-1
1,9.24149E-1
1,8.844524E-1
1,9.314213E-1
1,7.465678E-1
0,4.459376E-1
0,3.628769E-1
1,8.996606E-1
1,9.244294E-1
1,6.128565E-1
1,8.033963E-1
1,5.319846E-1
1,9.28901E-1
0,3.561271E-1
1,9.537388E-1
1,8.349433E-1
1,5.317206E-1
1,8.773844E-1
1,9.03763E-1
1,8.568779E-1
1,7.028095E-1
1,9.667709E-1
0,3.79333E-1
1,7.072816E-1
1,7.800197E-1
1,6.269531E-1
1,5.189341E-1
1,7.066741E-1
1,7.432204E-1
1,8.67226E-1
1,9.911623E-1
1,9.012782E-1
1,8.920929E-1
0,4.782448E-1
1,9.814155E-1
0,3.420751E-1
1,7.330626E-1
1,6.479789E-1
1,9.061182E-1
0,2.596187E-1
1,6.831882E-1
1,8.626719E-1
1,5.449395E-1
1,6.89983E-1
1,6.903335E-1
1,8.949497E-1
1,9.727248E-1
1,6.256526E-1
1,9.41725E-1
1,5.915452E-1
1,8.251419E-1
1,9.594354E-1
1,9.779868E-1
1,7.243503E-1
1,9.219077E-1
0,2.257033E-1
1,8.512971E-1
1,8.07937E-1
1,5.464089E-1
0,4.521992E-1
1,7.466299E-1
1,9.057891E-1
1,8.045766E-1
0,3.662951E-1
1,9.682902E-1
1,6.292374E-1
1,6.496108E-1
1,7.608934E-1
1,7.059649E-1
1,9.505697E-1
1,8.380058E-1
1,9.339797E-1
1,7.47021E-1
0,4.854157E-1
1,8.295754E-1
1,7.994197E-1
1,7.380909E-1
1,7.091673E-1
1,9.746718E-1
0,4.739061E-1
1,7.758692E-1
1,8.648859E-1
1,9.203554E-1
1,7.174116E-1
1,7.647831E-1
1,7.211504E-1
1,7.263375E-1
1,6.580589E-1
1,9.769073E-1
1,5.745385E-1
1,8.803604E-1
0,4.476354E-1
1,8.611126E-1
1,8.492357E-1
1,5.786462E-1
1,9.632288E-1
1,7.919782E-1
1,7.486287E-1
0,3.874011E-1
1,9.218478E-1
1,7.028667E-1
1,7.48095E-1
1,5.458598E-1
1,9.807581E-1
0,2.254632E-1
1,7.364102E-1
1,9.397389E-1
1,9.248312E-1
1,8.571486E-1
1,7.208081E-1
1,7.793743E-1
1,7.730483E-1
1,9.515676E-1
1,8.933283E-1
1,7.734682E-1
1,9.506131E-1
1,6.970958E-1
1,8.30083E-1
1,6.990042E-1
1,9.720779E-1
1,8.823165E-1
1,6.241189E-1
1,9.826304E-1
0,4.079074E-1
1,7.852871E-1
1,8.580755E-1
1,6.716627E-1
1,5.662491E-1
1,8.296263E-1
1,8.858904E-1
1,8.376709E-1
1,9.026117E-1
1,6.853429E-1
1,8.349658E-1
1,9.115995E-1
1,8.783851E-1
1,9.295069E-1
1,7.074726E-1
1,8.755767E-1
1,6.112281E-1
1,9.855065E-1
1,9.480129E-1
1,9.080899E-1
1,9.86273E-1
1,5.675514E-1
1,8.002665E-1
1,9.689356E-1
0,1.374337E-1
1,7.940284E-1
1,9.992659E-1
