ID,PredictedProb
0,0.2696746
1,0.9330256
2,0.5265597
7,0.5925264
10,0.6676413
11,0.7904337
13,0.9441755
14,0.697827
15,0.95505
16,0.8546073
17,0.6833064
18,0.9413164
19,0.9760301
20,0.5540815
25,0.7797148
26,0.9085012
29,0.9780685
38,0.9673852
41,0.9596474
44,0.8718559
45,0.6386791
47,0.9066951
48,0.8096596
49,0.896552
50,0.8947505
53,0.580135
56,0.5444337
59,0.6587221
60,0.6005794
64,0.8938314
65,0.9241984
66,0.3775288
68,0.9903003
69,0.7089757
70,0.8816117
71,0.746194
72,0.7239626
76,0.9297718
80,0.7915258
82,0.6048749
83,0.9691561
85,0.8930671
86,0.5767256
87,0.6568478
89,0.8058148
97,0.9436822
99,0.9275677
101,0.7589833
102,0.1315828
103,0.6986788
104,0.52384
106,0.9739488
107,0.70066
109,0.9751499
111,0.4197518
113,0.8479338
114,0.6725651
118,0.9277808
119,0.6951245
120,0.9327156
123,0.7983785
128,0.8349612
129,0.9515781
131,0.9181633
133,0.8049863
134,0.9555368
136,0.962713
137,0.6922225
139,0.7497908
140,0.6699518
142,0.8257633
144,0.8220142
146,0.9900543
147,0.7843775
148,0.9262885
150,0.4693692
151,0.3257826
152,0.9364423
155,0.9678642
158,0.8710256
159,0.7435198
160,0.9619912
161,0.4792634
165,0.9479096
166,0.7069017
170,0.9404188
171,0.6986231
174,0.7491202
175,0.8515053
179,0.7833724
180,0.9195253
181,0.8777164
184,0.7384936
185,0.7504736
187,0.8771993
188,0.8097557
190,0.8442061
191,0.959274
192,0.6927108
193,0.9799555
196,0.820619
197,0.504778
198,0.5832777
205,0.1768861
211,0.8513058
213,0.5062773
214,0.8359264
217,0.5498832
218,0.5953705
221,0.9413509
222,0.6136006
225,0.5973746
229,0.3166627
236,0.5646822
237,0.9166608
238,0.9162812
239,0.8885152
242,0.5324682
245,0.9196002
246,0.8301426
247,0.8499037
248,0.966243
254,0.7925386
255,0.2237557
257,0.968054
259,0.5141093
264,0.9201317
270,0.2344798
272,0.8121862
274,0.6036123
275,0.5791484
278,0.7066087
280,0.2671601
281,0.3095613
282,0.5601193
283,0.5165034
284,0.9809921
286,0.8428643
287,0.9457825
288,0.9714253
289,0.8406021
290,0.5644631
291,0.8018018
294,0.5255792
295,0.2552891
297,0.6394531
299,0.5358948
305,0.6801172
307,0.640771
308,0.6132551
313,0.6642193
314,0.7207605
315,0.8304838
316,0.8105444
317,0.848856
319,0.2968896
322,0.7238128
323,0.528985
324,0.6312364
326,0.8950063
327,0.6778875
329,0.9714774
330,0.1903261
331,0.5187716
336,0.358193
337,0.6416119
338,0.801024
340,0.8950121
345,0.3055091
347,0.6616805
348,0.6630299
350,0.9865001
352,0.8408186
356,0.9378944
357,0.924149
358,0.8844524
359,0.9314213
361,0.7465678
363,0.4459376
364,0.3628769
368,0.8996606
376,0.9244294
378,0.6128565
382,0.8033963
384,0.5319846
385,0.928901
388,0.3561271
389,0.9537388
391,0.8349433
392,0.5317206
395,0.8773844
396,0.903763
397,0.8568779
399,0.7028095
404,0.9667709
407,0.379333
409,0.7072816
410,0.7800197
413,0.6269531
414,0.5189341
